,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR.1,Torque.1,Thrust.1,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
723,8.7,0.06,0.1182,0.2009,0.1044,1.020,2.572,5.183,760.854,0.291,23.054,3.090,0.60,116430.,25000
724,13.1,0.09,0.1726,0.1981,0.1057,1.034,2.606,5.111,770.693,0.294,22.733,3.008,0.60,116480.,25000
725,17.5,0.12,0.2241,0.1948,0.1068,1.044,2.632,5.026,778.442,0.297,22.356,2.928,0.60,116549.,25000
726,21.8,0.15,0.2727,0.1911,0.1076,1.052,2.651,4.930,784.237,0.300,21.929,2.851,0.60,116638.,25000
727,26.2,0.18,0.3186,0.1869,0.1081,1.057,2.664,4.823,787.925,0.301,21.452,2.776,0.60,116746.,25000
728,30.5,0.22,0.3619,0.1823,0.1083,1.059,2.669,4.704,789.359,0.301,20.924,2.703,0.60,116874.,25000
729,34.9,0.25,0.4027,0.1773,0.1082,1.057,2.666,4.574,788.464,0.301,20.346,2.631,0.60,117022.,25000
730,39.3,0.28,0.4410,0.1718,0.1077,1.053,2.654,4.433,784.922,0.300,19.716,2.561,0.60,117189.,25000
731,43.6,0.31,0.4772,0.1658,0.1067,1.043,2.629,4.277,777.625,0.297,19.026,2.495,0.60,117375.,25000
732,48.0,0.34,0.5119,0.1591,0.1050,1.026,2.587,4.105,765.269,0.292,18.258,2.433,0.60,117581.,25000
733,52.4,0.37,0.5446,0.1521,0.1029,1.006,2.536,3.924,750.099,0.287,17.452,2.373,0.60,117806.,25000
734,56.7,0.40,0.5752,0.1448,0.1006,0.983,2.478,3.737,732.870,0.280,16.624,2.313,0.60,118050.,25000
735,61.1,0.43,0.6036,0.1374,0.0979,0.957,2.412,3.546,713.576,0.273,15.774,2.254,0.60,118313.,25000
736,65.4,0.46,0.6300,0.1298,0.0949,0.928,2.340,3.350,692.022,0.264,14.900,2.196,0.60,118595.,25000
737,69.8,0.49,0.6535,0.1220,0.0917,0.897,2.260,3.148,668.633,0.255,14.001,2.135,0.60,118895.,25000
738,74.2,0.52,0.6738,0.1139,0.0883,0.863,2.175,2.940,643.432,0.246,13.076,2.072,0.60,119214.,25000
739,78.5,0.55,0.6915,0.1057,0.0845,0.826,2.082,2.727,615.716,0.235,12.128,2.008,0.60,119552.,25000
740,82.9,0.58,0.7064,0.0972,0.0803,0.785,1.979,2.508,585.324,0.224,11.156,1.944,0.61,119908.,25000
741,87.3,0.61,0.7180,0.0885,0.0757,0.740,1.866,2.284,551.914,0.211,10.158,1.877,0.61,120281.,25000
742,91.6,0.65,0.7258,0.0796,0.0708,0.692,1.743,2.054,515.677,0.197,9.138,1.807,0.61,120673.,25000
743,96.0,0.68,0.7290,0.0705,0.0654,0.639,1.611,1.820,476.438,0.182,8.094,1.732,0.61,121083.,25000
744,100.3,0.71,0.7258,0.0611,0.0595,0.582,1.466,1.578,433.717,0.166,7.017,1.650,0.61,121510.,25000
745,104.7,0.74,0.7136,0.0516,0.0533,0.521,1.313,1.331,388.374,0.148,5.920,1.554,0.61,121954.,25000
746,109.1,0.77,0.6871,0.0418,0.0467,0.456,1.151,1.078,340.339,0.130,4.795,1.437,0.61,122416.,25000
747,113.4,0.80,0.6365,0.0317,0.0398,0.389,0.981,0.819,290.288,0.111,3.643,1.280,0.61,122894.,25000
748,117.8,0.83,0.5406,0.0214,0.0328,0.320,0.807,0.551,238.734,0.091,2.451,1.047,0.62,123390.,25000
749,122.2,0.86,0.3635,0.0108,0.0255,0.249,0.628,0.278,185.677,0.071,1.236,0.679,0.62,123902.,25000
750,126.5,0.89,-0.0010,0.0000,0.0180,0.176,0.444,-0.001,131.460,0.050,-0.002,-0.002,0.62,124430.,25000
