,Velocity (m/s),J (Adv Ratio),Pe,Ct,Cp,PWR (W),Torque (N/m),Thrust (N),Frequency (Hz),Model
64,0.715264,0.11,0.2264,0.1221,0.0614,0.0,0.001016863499999997,0.097860884,50.0,5x3
65,0.89408,0.14,0.2771,0.1204,0.0618,0.0,0.001016863499999997,0.097860884,50.0,5x3
66,1.0728959999999998,0.17,0.3255,0.1183,0.062,0.0,0.001016863499999997,0.09341266200000001,50.0,5x3
67,1.251712,0.2,0.3713,0.1161,0.0622,0.0,0.001016863499999997,0.09341266200000001,50.0,5x3
68,1.430528,0.23,0.4147,0.1135,0.0623,0.0,0.001016863499999997,0.08896444,50.0,5x3
69,1.609344,0.26,0.4554,0.1106,0.0622,0.0,0.001016863499999997,0.08896444,50.0,5x3
70,1.78816,0.28,0.4934,0.1074,0.0619,0.0,0.001016863499999997,0.084516218,50.0,5x3
71,1.966976,0.31,0.5287,0.1038,0.0614,0.0,0.001016863499999997,0.084516218,50.0,5x3
72,2.1457919999999997,0.34,0.5611,0.0997,0.0606,0.0,0.001016863499999997,0.080067996,50.0,5x3
73,2.369312,0.37,0.5904,0.095,0.0595,0.0,0.000903878666666664,0.07561977400000001,50.0,5x3
74,2.548128,0.4,0.6167,0.09,0.0581,0.0,0.000903878666666664,0.07117155200000001,50.0,5x3
75,2.7269439999999996,0.43,0.6398,0.0849,0.0566,0.0,0.000903878666666664,0.06672333,50.0,5x3
76,2.90576,0.46,0.6599,0.0796,0.0549,0.0,0.000903878666666664,0.062275108,50.0,5x3
77,3.084576,0.48,0.677,0.0743,0.0531,0.0,0.000903878666666664,0.057826886,50.0,5x3
78,3.263392,0.51,0.6912,0.0688,0.051,0.0,0.000790893833333331,0.053378664000000006,50.0,5x3
79,3.442208,0.54,0.7025,0.0632,0.0486,0.0,0.000790893833333331,0.048930442,50.0,5x3
80,3.621024,0.57,0.7104,0.0574,0.0459,0.0,0.000790893833333331,0.04448222,50.0,5x3
81,3.79984,0.6,0.7158,0.0515,0.0429,0.0,0.000677908999999998,0.040033998,50.0,5x3
82,3.978656,0.63,0.7159,0.0453,0.0396,0.0,0.000677908999999998,0.035585776000000006,50.0,5x3
83,4.157472,0.65,0.7109,0.039,0.0359,0.0,0.000564924166666665,0.031137554,50.0,5x3
84,4.336288,0.68,0.6981,0.0327,0.0319,0.0,0.000564924166666665,0.026689332000000003,50.0,5x3
85,4.515104,0.71,0.6727,0.0262,0.0277,0.0,0.000451939333333332,0.02224111,50.0,5x3
86,4.69392,0.74,0.6249,0.0197,0.0233,0.0,0.000338954499999999,0.017792888000000003,50.0,5x3
87,4.872736,0.77,0.5384,0.0132,0.0188,0.0,0.000338954499999999,0.008896444000000002,50.0,5x3
88,5.051552,0.8,0.3733,0.0066,0.0141,0.0,0.000225969666666666,0.004448222000000001,50.0,5x3
89,5.2303679999999995,0.82,-0.0009,0.0,0.0094,0.0,0.000112984833333333,0.0,50.0,5x3
90,0.0,0.0,0.0,0.1273,0.0592,0.746,0.001694772499999995,0.182377102,66.66666666666667,5x3
91,0.22352,0.03,0.06,0.1263,0.0598,0.746,0.001694772499999995,0.17792888,66.66666666666667,5x3
92,0.491744,0.06,0.1177,0.1251,0.0604,0.746,0.001694772499999995,0.17792888,66.66666666666667,5x3
93,0.715264,0.09,0.1732,0.1237,0.0609,0.746,0.001694772499999995,0.173480658,66.66666666666667,5x3
94,0.983488,0.11,0.2263,0.1222,0.0614,0.746,0.001807757333333328,0.173480658,66.66666666666667,5x3
95,1.207008,0.14,0.2771,0.1204,0.0618,0.746,0.001807757333333328,0.169032436,66.66666666666667,5x3
96,1.430528,0.17,0.3254,0.1184,0.0621,0.746,0.001807757333333328,0.169032436,66.66666666666667,5x3
97,1.6987519999999998,0.2,0.3713,0.1161,0.0623,0.746,0.001807757333333328,0.164584214,66.66666666666667,5x3
98,1.922272,0.23,0.4146,0.1136,0.0623,0.746,0.001807757333333328,0.160135992,66.66666666666667,5x3
99,2.1457919999999997,0.26,0.4553,0.1107,0.0622,0.746,0.001807757333333328,0.15568777000000003,66.66666666666667,5x3
100,2.414016,0.28,0.4934,0.1075,0.062,0.746,0.001807757333333328,0.15123954800000003,66.66666666666667,5x3
101,2.6375360000000003,0.31,0.5286,0.1038,0.0615,0.746,0.001807757333333328,0.14679132600000003,66.66666666666667,5x3
102,2.90576,0.34,0.561,0.0998,0.0607,0.746,0.001694772499999995,0.14234310400000003,66.66666666666667,5x3
103,3.12928,0.37,0.5904,0.0951,0.0595,0.746,0.001694772499999995,0.13344666,66.66666666666667,5x3
104,3.3528,0.4,0.6166,0.0901,0.0582,0.746,0.001694772499999995,0.12899843800000002,66.66666666666667,5x3
105,3.621024,0.43,0.6398,0.0849,0.0566,0.746,0.001581787666666662,0.120101994,66.66666666666667,5x3
106,3.844544,0.46,0.6599,0.0797,0.055,0.746,0.001581787666666662,0.11120555000000001,66.66666666666667,5x3
107,4.112768,0.48,0.677,0.0743,0.0531,0.746,0.001468802833333329,0.10675732800000001,66.66666666666667,5x3
108,4.336288,0.51,0.6913,0.0689,0.051,0.746,0.001468802833333329,0.097860884,66.66666666666667,5x3
109,4.559807999999999,0.54,0.7023,0.0632,0.0486,0.746,0.001355817999999996,0.08896444,66.66666666666667,5x3
110,4.828032,0.57,0.7108,0.0574,0.046,0.746,0.001355817999999996,0.080067996,66.66666666666667,5x3
111,5.051552,0.6,0.7152,0.0514,0.043,0.746,0.001242833166666663,0.07117155200000001,66.66666666666667,5x3
112,5.275072000000001,0.63,0.7159,0.0453,0.0396,0.746,0.00112984833333333,0.062275108,66.66666666666667,5x3
113,5.543296,0.65,0.7124,0.0392,0.036,0.746,0.001016863499999997,0.053378664000000006,66.66666666666667,5x3
114,5.766816,0.68,0.6983,0.0327,0.032,0.746,0.000903878666666664,0.04448222,66.66666666666667,5x3
115,6.0350399999999995,0.71,0.6728,0.0262,0.0277,0.0,0.000790893833333331,0.035585776000000006,66.66666666666667,5x3
116,6.25856,0.74,0.6252,0.0197,0.0233,0.0,0.000677908999999998,0.026689332000000003,66.66666666666667,5x3
117,6.48208,0.77,0.5444,0.0133,0.0188,0.0,0.000564924166666665,0.017792888000000003,66.66666666666667,5x3
118,6.750304,0.8,0.3818,0.0067,0.0141,0.0,0.000451939333333332,0.008896444000000002,66.66666666666667,5x3
119,6.973824,0.82,-0.0006,0.0,0.0094,0.0,0.000225969666666666,0.0,66.66666666666667,5x3
120,0.0,0.0,0.0,0.1273,0.0593,1.492,0.002598651166666659,0.28023798600000005,83.33333333333333,5x3
121,0.312928,0.03,0.06,0.1263,0.0599,1.492,0.002711635999999992,0.28023798600000005,83.33333333333333,5x3
122,0.581152,0.06,0.1177,0.1251,0.0605,1.492,0.002711635999999992,0.275789764,83.33333333333333,5x3
123,0.89408,0.09,0.1732,0.1238,0.061,1.492,0.002711635999999992,0.275789764,83.33333333333333,5x3
124,1.207008,0.11,0.2263,0.1222,0.0615,1.492,0.002711635999999992,0.271341542,83.33333333333333,5x3
125,1.519936,0.14,0.277,0.1205,0.0618,1.492,0.002711635999999992,0.26689332,83.33333333333333,5x3
126,1.78816,0.17,0.3253,0.1185,0.0621,1.492,0.0028246208333333254,0.262445098,83.33333333333333,5x3
127,2.101088,0.2,0.3712,0.1162,0.0623,1.492,0.0028246208333333254,0.25799687600000004,83.33333333333333,5x3
128,2.414016,0.23,0.4145,0.1136,0.0624,1.492,0.0028246208333333254,0.25354865400000004,83.33333333333333,5x3
129,2.7269439999999996,0.26,0.4553,0.1108,0.0623,1.492,0.0028246208333333254,0.24465221,83.33333333333333,5x3
130,2.995168,0.28,0.4933,0.1075,0.062,1.492,0.0028246208333333254,0.240203988,83.33333333333333,5x3
131,3.308096,0.31,0.5286,0.1039,0.0615,1.492,0.002711635999999992,0.231307544,83.33333333333333,5x3
132,3.621024,0.34,0.561,0.0998,0.0607,1.492,0.002711635999999992,0.22241110000000003,83.33333333333333,5x3
133,3.933952,0.37,0.5904,0.0951,0.0596,1.492,0.002711635999999992,0.20906643400000002,83.33333333333333,5x3
134,4.202176,0.4,0.6166,0.0901,0.0582,1.492,0.002598651166666659,0.20016999000000002,83.33333333333333,5x3
135,4.515104,0.43,0.6398,0.085,0.0567,1.492,0.002485666333333326,0.18682532400000001,83.33333333333333,5x3
136,4.828032,0.46,0.6599,0.0798,0.055,1.492,0.002485666333333326,0.17792888,83.33333333333333,5x3
137,5.096256,0.48,0.677,0.0744,0.0531,1.492,0.0023726814999999934,0.164584214,83.33333333333333,5x3
138,5.409184,0.51,0.6912,0.0689,0.051,1.492,0.00225969666666666,0.15123954800000003,83.33333333333333,5x3
139,5.722112,0.54,0.7026,0.0633,0.0487,1.492,0.002146711833333327,0.14234310400000003,83.33333333333333,5x3
140,6.0350399999999995,0.57,0.7105,0.0575,0.046,0.746,0.002033726999999994,0.12899843800000002,83.33333333333333,5x3
141,6.3032639999999995,0.6,0.7153,0.0515,0.043,0.746,0.0019207421666666612,0.115653772,83.33333333333333,5x3
142,6.616192,0.63,0.716,0.0454,0.0396,0.746,0.001807757333333328,0.10230910600000001,83.33333333333333,5x3
143,6.92912,0.65,0.711,0.0391,0.036,0.746,0.001581787666666662,0.084516218,83.33333333333333,5x3
144,7.242048,0.68,0.6983,0.0327,0.032,0.746,0.001468802833333329,0.07117155200000001,83.33333333333333,5x3
145,7.5102720000000005,0.71,0.6759,0.0264,0.0278,0.746,0.001242833166666663,0.057826886,83.33333333333333,5x3
146,7.8232,0.74,0.6254,0.0197,0.0233,0.746,0.001016863499999997,0.04448222,83.33333333333333,5x3
147,8.136128,0.77,0.5387,0.0132,0.0188,0.746,0.000790893833333331,0.031137554,83.33333333333333,5x3
148,8.449055999999999,0.8,0.3736,0.0066,0.0141,0.0,0.000677908999999998,0.013344666000000002,83.33333333333333,5x3
149,8.71728,0.82,-0.0007,0.0,0.0094,0.0,0.000451939333333332,0.0,83.33333333333333,5x3
150,0.0,0.0,0.0,0.1274,0.0593,2.238,0.0038414843333333224,0.40478820200000004,100.0,5x3
151,0.357632,0.03,0.0599,0.1264,0.0599,2.238,0.0038414843333333224,0.40478820200000004,100.0,5x3
152,0.715264,0.06,0.1176,0.1252,0.0605,2.238,0.003954469166666656,0.40033998000000004,100.0,5x3
153,1.0728959999999998,0.09,0.1731,0.1239,0.061,2.238,0.003954469166666656,0.39589175800000004,100.0,5x3
154,1.430528,0.11,0.2262,0.1223,0.0615,2.238,0.003954469166666656,0.391443536,100.0,5x3
155,1.78816,0.14,0.2769,0.1205,0.0619,2.238,0.003954469166666656,0.382547092,100.0,5x3
156,2.1457919999999997,0.17,0.3252,0.1185,0.0622,2.238,0.003954469166666656,0.37809887000000003,100.0,5x3
157,2.548128,0.2,0.371,0.1163,0.0624,2.238,0.004067453999999988,0.36920242600000003,100.0,5x3
158,2.90576,0.23,0.4144,0.1137,0.0624,2.238,0.004067453999999988,0.364754204,100.0,5x3
159,3.263392,0.26,0.4551,0.1109,0.0623,2.238,0.004067453999999988,0.351409538,100.0,5x3
160,3.621024,0.28,0.4931,0.1076,0.0621,2.238,0.003954469166666656,0.342513094,100.0,5x3
161,3.978656,0.31,0.5284,0.104,0.0616,2.238,0.003954469166666656,0.33361665,100.0,5x3
162,4.336288,0.34,0.5609,0.0999,0.0608,2.238,0.003954469166666656,0.320271984,100.0,5x3
163,4.69392,0.37,0.5903,0.0952,0.0596,2.238,0.0038414843333333224,0.30247909600000006,100.0,5x3
164,5.051552,0.4,0.6165,0.0902,0.0583,2.238,0.0037284994999999895,0.28913443000000005,100.0,5x3
165,5.409184,0.43,0.6397,0.0851,0.0567,2.238,0.003615514666666656,0.271341542,100.0,5x3
166,5.766816,0.45,0.6598,0.0799,0.0551,2.238,0.0035025298333333232,0.25354865400000004,100.0,5x3
167,6.124447999999999,0.48,0.677,0.0745,0.0532,2.238,0.00338954499999999,0.235755766,100.0,5x3
168,6.48208,0.51,0.6912,0.069,0.0511,2.238,0.0032765601666666574,0.21796287800000003,100.0,5x3
169,6.8397120000000005,0.54,0.7026,0.0634,0.0487,2.238,0.003163575333333324,0.20016999000000002,100.0,5x3
170,7.242048,0.57,0.7105,0.0575,0.0461,2.238,0.002937605666666658,0.182377102,100.0,5x3
171,7.59968,0.6,0.7153,0.0516,0.0431,1.492,0.0028246208333333254,0.164584214,100.0,5x3
172,7.957312,0.63,0.717,0.0455,0.0397,1.492,0.002598651166666659,0.14679132600000003,100.0,5x3
173,8.314944,0.65,0.7126,0.0393,0.0361,1.492,0.0023726814999999934,0.124550216,100.0,5x3
174,8.672576,0.68,0.7006,0.0329,0.0321,1.492,0.002033726999999994,0.10675732800000001,100.0,5x3
175,9.030208,0.71,0.6762,0.0265,0.0278,1.492,0.001807757333333328,0.084516218,100.0,5x3
176,9.38784,0.74,0.6259,0.0198,0.0234,0.746,0.001468802833333329,0.062275108,100.0,5x3
177,9.745472,0.77,0.5454,0.0134,0.0188,0.746,0.001242833166666663,0.04448222,100.0,5x3
178,10.103104,0.8,0.383,0.0068,0.0141,0.746,0.000903878666666664,0.02224111,100.0,5x3
179,10.460735999999999,0.82,-0.0009,0.0,0.0094,0.746,0.000564924166666665,0.0,100.0,5x3
180,0.0,0.0,0.0,0.1274,0.0594,3.73,0.005197302333333318,0.551579528,116.66666666666667,5x3
181,0.402336,0.03,0.0599,0.1264,0.06,3.73,0.005310287166666651,0.547131306,116.66666666666667,5x3
182,0.8493759999999999,0.06,0.1176,0.1253,0.0606,3.73,0.005310287166666651,0.542683084,116.66666666666667,5x3
183,1.251712,0.09,0.173,0.124,0.0611,3.73,0.005310287166666651,0.538234862,116.66666666666667,5x3
184,1.6987519999999998,0.11,0.2261,0.1224,0.0616,3.73,0.005423271999999984,0.529338418,116.66666666666667,5x3
185,2.101088,0.14,0.2768,0.1207,0.062,3.73,0.005423271999999984,0.524890196,116.66666666666667,5x3
186,2.548128,0.17,0.3251,0.1186,0.0623,3.73,0.005423271999999984,0.5159937520000001,116.66666666666667,5x3
187,2.9504639999999998,0.2,0.3709,0.1164,0.0624,3.73,0.005423271999999984,0.5070973080000001,116.66666666666667,5x3
188,3.3528,0.23,0.4143,0.1138,0.0625,3.73,0.005536256833333318,0.493752642,116.66666666666667,5x3
189,3.79984,0.26,0.455,0.111,0.0624,3.73,0.005423271999999984,0.480407976,116.66666666666667,5x3
190,4.202176,0.28,0.4931,0.1077,0.0621,3.73,0.005423271999999984,0.46706331,116.66666666666667,5x3
191,4.649216,0.31,0.5284,0.1041,0.0616,3.73,0.005423271999999984,0.453718644,116.66666666666667,5x3
192,5.051552,0.34,0.5608,0.1,0.0609,3.73,0.005310287166666651,0.43592575600000005,116.66666666666667,5x3
193,5.498592,0.37,0.5902,0.0953,0.0597,3.73,0.005197302333333318,0.41368464600000004,116.66666666666667,5x3
194,5.9009279999999995,0.4,0.6165,0.0903,0.0583,3.73,0.0050843174999999855,0.391443536,116.66666666666667,5x3
195,6.3032639999999995,0.43,0.6397,0.0852,0.0568,3.73,0.004971332666666652,0.36920242600000003,116.66666666666667,5x3
196,6.750304,0.45,0.6599,0.0799,0.0551,3.73,0.004858347833333319,0.346961316,116.66666666666667,5x3
197,7.15264,0.48,0.6771,0.0746,0.0532,3.73,0.004632378166666653,0.324720206,116.66666666666667,5x3
198,7.59968,0.51,0.6913,0.0691,0.0512,2.984,0.00451939333333332,0.29803087400000006,116.66666666666667,5x3
199,8.002016,0.54,0.7024,0.0634,0.0488,2.984,0.004293423666666654,0.275789764,116.66666666666667,5x3
200,8.404352,0.57,0.7105,0.0576,0.0461,2.984,0.004067453999999988,0.249100432,116.66666666666667,5x3
201,8.851392,0.6,0.7154,0.0516,0.0431,2.984,0.0037284994999999895,0.22241110000000003,116.66666666666667,5x3
202,9.253727999999999,0.63,0.7161,0.0455,0.0398,2.238,0.0035025298333333232,0.195721768,116.66666666666667,5x3
203,9.700768,0.65,0.7113,0.0392,0.0361,2.238,0.003163575333333324,0.169032436,116.66666666666667,5x3
204,10.103104,0.68,0.6987,0.0328,0.0321,2.238,0.0028246208333333254,0.14234310400000003,116.66666666666667,5x3
205,10.550144000000001,0.71,0.6764,0.0265,0.0278,1.492,0.002485666333333326,0.115653772,116.66666666666667,5x3
206,10.95248,0.74,0.6302,0.02,0.0234,1.492,0.002033726999999994,0.084516218,116.66666666666667,5x3
207,11.354816,0.77,0.5455,0.0134,0.0188,1.492,0.001694772499999995,0.057826886,116.66666666666667,5x3
208,11.801855999999999,0.8,0.3745,0.0066,0.0141,0.746,0.001242833166666663,0.026689332000000003,116.66666666666667,5x3
209,12.204192,0.82,0.0007,0.0,0.0094,0.746,0.000790893833333331,0.0,116.66666666666667,5x3
210,0.0,0.0,0.0,0.1275,0.0595,5.968,0.00677908999999998,0.720611964,133.33333333333334,5x3
211,0.491744,0.03,0.0599,0.1265,0.0601,5.968,0.006892074833333314,0.7161637420000001,133.33333333333334,5x3
212,0.983488,0.06,0.1176,0.1254,0.0607,5.968,0.0070050596666666465,0.71171552,133.33333333333334,5x3
213,1.430528,0.09,0.173,0.1241,0.0612,5.968,0.0070050596666666465,0.702819076,133.33333333333334,5x3
214,1.922272,0.11,0.2261,0.1225,0.0617,5.968,0.007118044499999979,0.693922632,133.33333333333334,5x3
215,2.414016,0.14,0.2769,0.1208,0.062,5.968,0.007118044499999979,0.685026188,133.33333333333334,5x3
216,2.90576,0.17,0.3252,0.1188,0.0623,5.968,0.007118044499999979,0.6716815220000001,133.33333333333334,5x3
217,3.3528,0.2,0.3711,0.1165,0.0625,5.968,0.007118044499999979,0.658336856,133.33333333333334,5x3
218,3.844544,0.23,0.4144,0.1139,0.0626,5.968,0.007118044499999979,0.64499219,133.33333333333334,5x3
