,Velocity (m/s),J (Adv Ratio),Pe,Ct,Cp,PWR (W),Torque (N/m),Thrust (N),Frequency (Hz),Model
99,2.101088,0.25,0.4642,0.0966,0.0521,0.746,0.001468802833333329,0.137894882,66.66666666666667,5x3E
100,2.369312,0.28,0.5017,0.0935,0.0518,0.746,0.001468802833333329,0.13344666,66.66666666666667,5x3E
101,2.592832,0.31,0.5362,0.0901,0.0514,0.746,0.001468802833333329,0.12899843800000002,66.66666666666667,5x3E
102,2.8163519999999997,0.33,0.5676,0.0865,0.0509,0.746,0.001468802833333329,0.124550216,66.66666666666667,5x3E
103,3.039872,0.36,0.5959,0.0827,0.0501,0.746,0.001468802833333329,0.115653772,66.66666666666667,5x3E
104,3.308096,0.39,0.6211,0.0784,0.0491,0.746,0.001355817999999996,0.11120555000000001,66.66666666666667,5x3E
105,3.531616,0.42,0.6432,0.074,0.048,0.746,0.001355817999999996,0.10675732800000001,66.66666666666667,5x3E
106,3.7551360000000003,0.44,0.6623,0.0694,0.0466,0.746,0.001355817999999996,0.097860884,66.66666666666667,5x3E
107,4.02336,0.47,0.6786,0.0648,0.0451,0.746,0.001242833166666663,0.09341266200000001,66.66666666666667,5x3E
108,4.24688,0.5,0.6923,0.0601,0.0434,0.746,0.001242833166666663,0.084516218,66.66666666666667,5x3E
109,4.4704,0.53,0.7039,0.0552,0.0414,0.746,0.001242833166666663,0.080067996,66.66666666666667,5x3E
110,4.69392,0.56,0.7135,0.0503,0.0392,0.746,0.00112984833333333,0.07117155200000001,66.66666666666667,5x3E
111,4.9621439999999994,0.58,0.7205,0.0451,0.0366,0.746,0.001016863499999997,0.062275108,66.66666666666667,5x3E
112,5.185664,0.61,0.7246,0.0399,0.0336,0.746,0.001016863499999997,0.057826886,66.66666666666667,5x3E
113,5.409184,0.64,0.7263,0.0345,0.0303,0.0,0.000903878666666664,0.048930442,66.66666666666667,5x3E
114,5.6327039999999995,0.67,0.7224,0.0289,0.0267,0.0,0.000790893833333331,0.040033998,66.66666666666667,5x3E
115,5.9009279999999995,0.7,0.7081,0.0233,0.0229,0.0,0.000677908999999998,0.031137554,66.66666666666667,5x3E
116,6.124447999999999,0.72,0.6767,0.0176,0.0188,0.0,0.000564924166666665,0.026689332000000003,66.66666666666667,5x3E
117,6.347968,0.75,0.6133,0.0118,0.0144,0.0,0.000451939333333332,0.017792888000000003,66.66666666666667,5x3E
118,6.5714879999999996,0.78,0.4644,0.0059,0.0099,0.0,0.000338954499999999,0.008896444000000002,66.66666666666667,5x3E
119,6.8397120000000005,0.81,-0.0011,0.0,0.0063,0.0,0.000225969666666666,0.0,66.66666666666667,5x3E
120,0.0,0.0,0.0,0.1142,0.0504,1.492,0.00225969666666666,0.25354865400000004,83.33333333333333,5x3E
121,0.312928,0.03,0.0619,0.1132,0.0509,1.492,0.00225969666666666,0.249100432,83.33333333333333,5x3E
122,0.581152,0.06,0.1213,0.112,0.0513,1.492,0.00225969666666666,0.249100432,83.33333333333333,5x3E
123,0.89408,0.08,0.1783,0.1106,0.0517,1.492,0.00225969666666666,0.24465221,83.33333333333333,5x3E
124,1.162304,0.11,0.2327,0.1089,0.0521,1.492,0.0023726814999999934,0.240203988,83.33333333333333,5x3E
125,1.4752319999999999,0.14,0.2845,0.107,0.0523,1.492,0.0023726814999999934,0.235755766,83.33333333333333,5x3E
126,1.743456,0.17,0.3336,0.1048,0.0524,1.492,0.0023726814999999934,0.231307544,83.33333333333333,5x3E
127,2.056384,0.19,0.38,0.1024,0.0524,1.492,0.0023726814999999934,0.226859322,83.33333333333333,5x3E
128,2.369312,0.22,0.4235,0.0997,0.0523,1.492,0.0023726814999999934,0.22241110000000003,83.33333333333333,5x3E
129,2.6375360000000003,0.25,0.4641,0.0967,0.0521,1.492,0.0023726814999999934,0.21351465600000002,83.33333333333333,5x3E
130,2.9504639999999998,0.28,0.5017,0.0935,0.0518,1.492,0.0023726814999999934,0.20906643400000002,83.33333333333333,5x3E
131,3.218688,0.31,0.5362,0.0902,0.0514,1.492,0.00225969666666666,0.20016999000000002,83.33333333333333,5x3E
132,3.531616,0.33,0.5676,0.0866,0.0509,1.492,0.00225969666666666,0.191273546,83.33333333333333,5x3E
133,3.844544,0.36,0.5959,0.0827,0.0502,1.492,0.00225969666666666,0.182377102,83.33333333333333,5x3E
134,4.112768,0.39,0.6211,0.0785,0.0492,1.492,0.002146711833333327,0.173480658,83.33333333333333,5x3E
135,4.425696,0.42,0.6432,0.074,0.048,1.492,0.002146711833333327,0.164584214,83.33333333333333,5x3E
136,4.69392,0.44,0.6623,0.0695,0.0467,0.746,0.002033726999999994,0.15568777000000003,83.33333333333333,5x3E
137,5.006848,0.47,0.6786,0.0648,0.0452,0.746,0.002033726999999994,0.14234310400000003,83.33333333333333,5x3E
138,5.275072000000001,0.5,0.6923,0.0601,0.0434,0.746,0.0019207421666666612,0.13344666,83.33333333333333,5x3E
139,5.588,0.53,0.704,0.0553,0.0415,0.746,0.001807757333333328,0.124550216,83.33333333333333,5x3E
140,5.9009279999999995,0.56,0.7135,0.0503,0.0392,0.746,0.001807757333333328,0.11120555000000001,83.33333333333333,5x3E
141,6.169152,0.58,0.7206,0.0452,0.0366,0.746,0.001581787666666662,0.097860884,83.33333333333333,5x3E
142,6.48208,0.61,0.7246,0.0399,0.0337,0.746,0.001468802833333329,0.08896444,83.33333333333333,5x3E
143,6.750304,0.64,0.7263,0.0345,0.0304,0.746,0.001355817999999996,0.07561977400000001,83.33333333333333,5x3E
144,7.063232,0.67,0.7224,0.029,0.0268,0.746,0.001242833166666663,0.062275108,83.33333333333333,5x3E
145,7.37616,0.7,0.7081,0.0233,0.0229,0.746,0.001016863499999997,0.053378664000000006,83.33333333333333,5x3E
146,7.6443840000000005,0.72,0.6769,0.0176,0.0188,0.746,0.000790893833333331,0.040033998,83.33333333333333,5x3E
147,7.957312,0.75,0.6135,0.0118,0.0144,0.0,0.000677908999999998,0.026689332000000003,83.33333333333333,5x3E
148,8.225536,0.78,0.4645,0.0059,0.0099,0.0,0.000451939333333332,0.013344666000000002,83.33333333333333,5x3E
149,8.538464000000001,0.81,-0.0014,0.0,0.0063,0.0,0.000338954499999999,0.0,83.33333333333333,5x3E
150,0.0,0.0,0.0,0.1143,0.0504,2.238,0.0032765601666666574,0.364754204,100.0,5x3E
151,0.357632,0.03,0.0618,0.1133,0.0509,2.238,0.0032765601666666574,0.360305982,100.0,5x3E
152,0.715264,0.06,0.1213,0.1121,0.0514,2.238,0.0032765601666666574,0.35585776,100.0,5x3E
153,1.0728959999999998,0.08,0.1782,0.1106,0.0518,2.238,0.00338954499999999,0.351409538,100.0,5x3E
154,1.430528,0.11,0.2326,0.109,0.0521,2.238,0.00338954499999999,0.346961316,100.0,5x3E
155,1.743456,0.14,0.2844,0.1071,0.0523,2.238,0.00338954499999999,0.342513094,100.0,5x3E
156,2.101088,0.17,0.3335,0.1049,0.0525,2.238,0.00338954499999999,0.33361665,100.0,5x3E
157,2.45872,0.19,0.3799,0.1025,0.0525,2.238,0.00338954499999999,0.324720206,100.0,5x3E
158,2.8163519999999997,0.22,0.4235,0.0997,0.0524,2.238,0.00338954499999999,0.315823762,100.0,5x3E
159,3.173984,0.25,0.4641,0.0968,0.0522,2.238,0.00338954499999999,0.30692731800000006,100.0,5x3E
160,3.531616,0.28,0.5016,0.0936,0.0519,2.238,0.00338954499999999,0.29803087400000006,100.0,5x3E
161,3.889248,0.31,0.5361,0.0903,0.0515,2.238,0.0032765601666666574,0.28913443000000005,100.0,5x3E
162,4.24688,0.33,0.5675,0.0867,0.051,2.238,0.0032765601666666574,0.275789764,100.0,5x3E
163,4.604512000000001,0.36,0.5959,0.0828,0.0502,2.238,0.0032765601666666574,0.262445098,100.0,5x3E
164,4.9621439999999994,0.39,0.6211,0.0785,0.0492,2.238,0.003163575333333324,0.249100432,100.0,5x3E
165,5.275072000000001,0.42,0.6432,0.0741,0.048,2.238,0.0030505904999999912,0.235755766,100.0,5x3E
166,5.6327039999999995,0.44,0.6623,0.0695,0.0467,2.238,0.0030505904999999912,0.22241110000000003,100.0,5x3E
167,5.990336,0.47,0.6786,0.0649,0.0452,1.492,0.002937605666666658,0.20906643400000002,100.0,5x3E
168,6.347968,0.5,0.6923,0.0602,0.0435,1.492,0.0028246208333333254,0.191273546,100.0,5x3E
169,6.7056,0.53,0.704,0.0553,0.0415,1.492,0.002711635999999992,0.17792888,100.0,5x3E
170,7.063232,0.56,0.7136,0.0503,0.0392,1.492,0.002485666333333326,0.160135992,100.0,5x3E
171,7.420864000000001,0.58,0.7206,0.0452,0.0366,1.492,0.0023726814999999934,0.14234310400000003,100.0,5x3E
172,7.778496,0.61,0.7247,0.0399,0.0337,1.492,0.002146711833333327,0.12899843800000002,100.0,5x3E
173,8.136128,0.64,0.7264,0.0345,0.0304,1.492,0.0019207421666666612,0.11120555000000001,100.0,5x3E
174,8.49376,0.67,0.7226,0.029,0.0268,0.746,0.001694772499999995,0.09341266200000001,100.0,5x3E
175,8.806688,0.7,0.7083,0.0234,0.023,0.746,0.001468802833333329,0.07561977400000001,100.0,5x3E
176,9.16432,0.72,0.6771,0.0177,0.0189,0.746,0.001242833166666663,0.057826886,100.0,5x3E
177,9.521952,0.75,0.6138,0.0118,0.0145,0.746,0.000903878666666664,0.035585776000000006,100.0,5x3E
178,9.879584000000001,0.78,0.465,0.0059,0.0099,0.746,0.000677908999999998,0.017792888000000003,100.0,5x3E
179,10.237215999999998,0.81,-0.001,0.0,0.0063,0.0,0.000451939333333332,0.0,100.0,5x3E
180,0.0,0.0,0.0,0.1143,0.0505,2.984,0.004406408499999987,0.498200864,116.66666666666667,5x3E
181,0.402336,0.03,0.0618,0.1133,0.051,2.984,0.00451939333333332,0.493752642,116.66666666666667,5x3E
182,0.804672,0.06,0.1212,0.1121,0.0514,2.984,0.00451939333333332,0.484856198,116.66666666666667,5x3E
183,1.251712,0.08,0.1781,0.1107,0.0518,2.984,0.00451939333333332,0.480407976,116.66666666666667,5x3E
184,1.654048,0.11,0.2325,0.1091,0.0522,2.984,0.00451939333333332,0.471511532,116.66666666666667,5x3E
185,2.056384,0.14,0.2843,0.1072,0.0524,3.73,0.004632378166666653,0.46706331,116.66666666666667,5x3E
