,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR.1,Torque.1,Thrust.1,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
348,28.1,0.27,0.5392,0.0356,0.0181,0.149,0.782,1.072,111.022,0.088,4.769,4.380,0.43,110117.,12000
349,29.7,0.29,0.5537,0.0329,0.0173,0.142,0.745,0.991,105.840,0.084,4.409,4.248,0.43,110207.,12000
350,31.4,0.31,0.5648,0.0302,0.0164,0.135,0.707,0.909,100.444,0.080,4.044,4.105,0.43,110301.,12000
351,33.0,0.32,0.5724,0.0274,0.0155,0.127,0.667,0.825,94.685,0.075,3.670,3.953,0.43,110400.,12000
352,34.7,0.34,0.5756,0.0246,0.0145,0.119,0.624,0.739,88.575,0.070,3.288,3.786,0.43,110504.,12000
353,36.3,0.36,0.5734,0.0217,0.0134,0.110,0.578,0.652,82.116,0.065,2.899,3.599,0.43,110614.,12000
354,38.0,0.37,0.5639,0.0187,0.0123,0.101,0.530,0.562,75.304,0.060,2.501,3.386,0.43,110728.,12000
355,39.6,0.39,0.5440,0.0156,0.0111,0.092,0.481,0.471,68.241,0.054,2.095,3.130,0.43,110847.,12000
356,41.3,0.40,0.5091,0.0126,0.0100,0.082,0.430,0.378,61.033,0.049,1.683,2.813,0.43,110971.,12000
357,42.9,0.42,0.4538,0.0095,0.0088,0.072,0.378,0.285,53.715,0.043,1.270,2.411,0.43,111100.,12000
358,44.6,0.44,0.3683,0.0064,0.0076,0.062,0.326,0.192,46.215,0.037,0.854,1.884,0.43,111234.,12000
359,46.2,0.45,0.2320,0.0032,0.0063,0.051,0.270,0.097,38.330,0.031,0.430,1.144,0.43,111373.,12000
360,47.9,0.47,-0.0012,0.0000,0.0049,0.040,0.212,0.000,30.100,0.024,-0.002,-0.006,0.43,111517.,12000
361,0.0,0.00,0.0000,0.0602,0.0238,0.249,1.207,2.127,185.597,0.136,9.461,5.198,0.46,118492.,13000
362,1.8,0.02,0.0405,0.0597,0.0238,0.249,1.206,2.110,185.556,0.136,9.384,5.157,0.46,118495.,13000
363,3.6,0.03,0.0802,0.0592,0.0238,0.249,1.205,2.090,185.349,0.136,9.294,5.113,0.46,118503.,13000
364,5.4,0.05,0.1193,0.0585,0.0238,0.248,1.202,2.066,184.913,0.136,9.189,5.067,0.46,118517.,13000
365,7.2,0.06,0.1575,0.0577,0.0237,0.247,1.198,2.039,184.273,0.135,9.068,5.018,0.46,118537.,13000
366,8.9,0.08,0.1948,0.0568,0.0236,0.246,1.192,2.008,183.379,0.135,8.931,4.966,0.46,118562.,13000
367,10.7,0.10,0.2312,0.0559,0.0234,0.244,1.185,1.973,182.207,0.134,8.775,4.911,0.46,118592.,13000
368,12.5,0.11,0.2665,0.0547,0.0232,0.242,1.175,1.934,180.714,0.133,8.600,4.853,0.46,118629.,13000
369,14.3,0.13,0.3007,0.0535,0.0230,0.240,1.164,1.891,178.989,0.131,8.410,4.791,0.46,118670.,13000
370,16.1,0.15,0.3337,0.0522,0.0227,0.237,1.151,1.844,176.994,0.130,8.202,4.726,0.46,118717.,13000
371,17.9,0.16,0.3654,0.0508,0.0224,0.234,1.136,1.794,174.690,0.128,7.978,4.657,0.46,118770.,13000
372,19.7,0.18,0.3957,0.0492,0.0221,0.231,1.118,1.739,171.984,0.126,7.734,4.585,0.46,118829.,13000
373,21.5,0.19,0.4246,0.0475,0.0217,0.226,1.098,1.679,168.849,0.124,7.468,4.510,0.46,118892.,13000
374,23.3,0.21,0.4518,0.0457,0.0212,0.222,1.074,1.613,165.176,0.121,7.175,4.430,0.47,118962.,13000
375,25.1,0.23,0.4771,0.0436,0.0207,0.216,1.046,1.540,160.842,0.118,6.851,4.344,0.47,119037.,13000
