,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR.1,Torque.1,Thrust.1,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
1120,38.0,0.21,0.3192,0.0889,0.0587,0.810,1.344,2.555,604.250,0.152,11.363,1.918,0.76,150766.,38000
1121,42.2,0.23,0.3961,0.0893,0.0529,0.729,1.209,2.568,543.742,0.137,11.421,2.142,0.76,150906.,38000
1122,46.4,0.26,0.4019,0.0891,0.0572,0.789,1.308,2.562,588.280,0.148,11.396,1.975,0.76,151062.,38000
1123,50.6,0.28,0.4495,0.0892,0.0559,0.770,1.278,2.565,574.513,0.144,11.411,2.025,0.76,151231.,38000
1124,54.8,0.30,0.4906,0.0893,0.0555,0.765,1.269,2.567,570.591,0.143,11.419,2.041,0.76,151416.,38000
1125,59.1,0.33,0.5232,0.0892,0.0560,0.772,1.281,2.565,575.756,0.145,11.410,2.021,0.76,151615.,38000
1126,63.3,0.35,0.5490,0.0871,0.0558,0.769,1.276,2.504,573.742,0.144,11.136,1.979,0.76,151828.,38000
1127,67.5,0.38,0.5735,0.0820,0.0536,0.740,1.227,2.357,551.586,0.139,10.484,1.938,0.76,152056.,38000
1128,71.7,0.40,0.5966,0.0764,0.0511,0.704,1.168,2.198,525.267,0.132,9.776,1.898,0.76,152298.,38000
1129,75.9,0.42,0.6163,0.0708,0.0485,0.669,1.109,2.035,498.622,0.125,9.053,1.851,0.76,152554.,38000
1130,80.1,0.45,0.6337,0.0650,0.0457,0.630,1.046,1.869,470.099,0.118,8.314,1.803,0.76,152825.,38000
1131,84.4,0.47,0.6484,0.0591,0.0427,0.589,0.978,1.699,439.563,0.110,7.557,1.753,0.76,153109.,38000
1132,88.6,0.49,0.6601,0.0531,0.0396,0.546,0.905,1.525,407.061,0.102,6.785,1.700,0.76,153408.,38000
1133,92.8,0.52,0.6678,0.0470,0.0363,0.501,0.830,1.351,373.310,0.094,6.009,1.641,0.76,153721.,38000
1134,97.0,0.54,0.6697,0.0406,0.0327,0.451,0.748,1.168,336.471,0.085,5.195,1.574,0.76,154047.,38000
1135,101.2,0.56,0.6626,0.0341,0.0290,0.400,0.663,0.981,298.057,0.075,4.363,1.493,0.77,154387.,38000
1136,105.5,0.59,0.6467,0.0275,0.0249,0.344,0.570,0.791,256.360,0.064,3.517,1.399,0.77,154741.,38000
1137,109.7,0.61,0.5974,0.0207,0.0212,0.292,0.484,0.596,217.604,0.055,2.651,1.242,0.77,155109.,38000
1138,113.9,0.63,0.5046,0.0139,0.0174,0.240,0.398,0.399,178.933,0.045,1.773,1.010,0.77,155490.,38000
1139,118.1,0.66,0.3262,0.0070,0.0140,0.193,0.320,0.200,143.932,0.036,0.889,0.630,0.77,155884.,38000
1140,122.3,0.68,-0.0048,-0.0001,0.0108,0.149,0.248,-0.002,111.394,0.028,-0.010,-0.009,0.77,156292.,38000
1141,0.0,0.00,0.0000,0.0887,0.0506,0.754,1.219,2.685,562.378,0.138,11.944,2.166,0.77,154116.,39000
1142,4.3,0.02,0.0408,0.0887,0.0510,0.761,1.229,2.685,567.252,0.139,11.944,2.147,0.77,154124.,39000
1143,8.7,0.05,0.0809,0.0887,0.0514,0.767,1.239,2.686,571.669,0.140,11.946,2.131,0.77,154147.,39000
1144,13.0,0.07,0.1205,0.0887,0.0518,0.773,1.249,2.687,576.320,0.141,11.950,2.114,0.77,154185.,39000
1145,17.3,0.09,0.1597,0.0888,0.0521,0.778,1.257,2.688,579.836,0.142,11.956,2.103,0.77,154239.,39000
1146,21.7,0.12,0.1985,0.0888,0.0525,0.782,1.264,2.690,583.452,0.143,11.964,2.091,0.77,154307.,39000
1147,26.0,0.14,0.2371,0.0889,0.0528,0.787,1.272,2.692,586.782,0.144,11.974,2.081,0.77,154391.,39000
1148,30.3,0.16,0.2752,0.0890,0.0531,0.792,1.279,2.695,590.410,0.145,11.986,2.070,0.77,154490.,39000
1149,34.7,0.19,0.3123,0.0891,0.0535,0.798,1.290,2.697,595.121,0.146,11.996,2.055,0.77,154605.,39000
1150,39.0,0.21,0.3523,0.0888,0.0532,0.793,1.282,2.688,591.416,0.145,11.955,2.061,0.78,154734.,39000
1151,43.3,0.23,0.3897,0.0887,0.0534,0.797,1.287,2.687,594.070,0.145,11.954,2.052,0.78,154878.,39000
1152,47.6,0.26,0.4235,0.0894,0.0545,0.812,1.312,2.707,605.575,0.148,12.039,2.027,0.78,155038.,39000
1153,52.0,0.28,0.4584,0.0895,0.0549,0.819,1.324,2.709,610.965,0.150,12.051,2.011,0.78,155212.,39000
1154,56.3,0.30,0.4944,0.0890,0.0549,0.819,1.324,2.697,610.725,0.150,11.994,2.003,0.78,155402.,39000
1155,60.6,0.33,0.5265,0.0887,0.0553,0.825,1.333,2.685,615.100,0.151,11.945,1.980,0.78,155606.,39000
1156,65.0,0.35,0.5546,0.0868,0.0551,0.821,1.327,2.629,612.494,0.150,11.694,1.947,0.78,155825.,39000
1157,69.3,0.38,0.5792,0.0827,0.0536,0.799,1.291,2.503,595.617,0.146,11.134,1.906,0.78,156059.,39000
1158,73.6,0.40,0.6063,0.0772,0.0508,0.758,1.224,2.339,564.928,0.138,10.404,1.878,0.78,156308.,39000
1159,78.0,0.42,0.6188,0.0711,0.0485,0.723,1.169,2.153,539.485,0.132,9.577,1.810,0.78,156572.,39000
1160,82.3,0.45,0.6386,0.0663,0.0463,0.690,1.115,2.008,514.566,0.126,8.931,1.770,0.78,156849.,39000
1161,86.6,0.47,0.6481,0.0590,0.0427,0.637,1.030,1.787,475.074,0.116,7.950,1.706,0.78,157142.,39000
1162,91.0,0.49,0.6645,0.0520,0.0386,0.575,0.930,1.576,428.947,0.105,7.009,1.666,0.78,157449.,39000
1163,95.3,0.52,0.6710,0.0478,0.0368,0.548,0.886,1.448,408.787,0.100,6.439,1.606,0.78,157770.,39000
