,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR,Torque,Thrust,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
70,3.4,0.15,0.3124,0.0510,0.0244,0.001,0.015,0.034,0.728,0.002,0.150,21.001,0.10,16941.,4000
71,3.8,0.17,0.3411,0.0487,0.0237,0.001,0.015,0.032,0.706,0.002,0.143,20.635,0.10,16949.,4000
72,4.1,0.18,0.3694,0.0465,0.0230,0.001,0.015,0.031,0.686,0.002,0.137,20.316,0.10,16958.,4000
73,4.5,0.20,0.3993,0.0442,0.0221,0.001,0.014,0.029,0.658,0.002,0.130,20.131,0.10,16968.,4000
74,4.9,0.22,0.4249,0.0422,0.0214,0.001,0.013,0.028,0.639,0.002,0.124,19.773,0.10,16978.,4000
75,5.3,0.23,0.4452,0.0399,0.0208,0.001,0.013,0.026,0.621,0.001,0.117,19.240,0.10,16989.,4000
76,5.7,0.25,0.4611,0.0373,0.0201,0.001,0.013,0.025,0.601,0.001,0.110,18.599,0.10,17002.,4000
77,6.0,0.27,0.4751,0.0349,0.0195,0.001,0.012,0.023,0.581,0.001,0.102,17.965,0.10,17014.,4000
78,6.4,0.28,0.4888,0.0330,0.0190,0.001,0.012,0.022,0.568,0.001,0.097,17.398,0.10,17028.,4000
79,6.8,0.30,0.4962,0.0303,0.0182,0.001,0.012,0.020,0.545,0.001,0.089,16.677,0.10,17043.,4000
80,7.2,0.32,0.5030,0.0280,0.0175,0.001,0.011,0.018,0.523,0.001,0.082,16.018,0.10,17058.,4000
81,7.5,0.33,0.5005,0.0250,0.0166,0.001,0.010,0.017,0.496,0.001,0.074,15.142,0.10,17074.,4000
82,7.9,0.35,0.5009,0.0230,0.0160,0.001,0.010,0.015,0.477,0.001,0.068,14.432,0.10,17091.,4000
83,8.3,0.36,0.4926,0.0200,0.0148,0.001,0.009,0.013,0.443,0.001,0.059,13.546,0.10,17109.,4000
84,8.7,0.38,0.4787,0.0177,0.0141,0.001,0.009,0.012,0.422,0.001,0.052,12.593,0.10,17128.,4000
85,9.0,0.40,0.4505,0.0145,0.0129,0.001,0.008,0.010,0.384,0.001,0.043,11.356,0.10,17147.,4000
86,9.4,0.41,0.4147,0.0118,0.0118,0.000,0.007,0.008,0.352,0.001,0.035,10.036,0.10,17167.,4000
87,9.8,0.43,0.3543,0.0087,0.0106,0.000,0.007,0.006,0.317,0.001,0.026,8.244,0.10,17188.,4000
88,10.2,0.45,0.2742,0.0059,0.0096,0.000,0.006,0.004,0.286,0.001,0.017,6.143,0.10,17210.,4000
89,10.6,0.46,0.1655,0.0031,0.0086,0.000,0.005,0.002,0.257,0.001,0.009,3.577,0.10,17233.,4000
90,10.9,0.48,-0.0048,-0.0001,0.0075,0.000,0.005,0.000,0.223,0.001,0.000,-0.100,0.10,17256.,4000
91,0.0,0.00,0.0000,0.0657,0.0286,0.002,0.028,0.068,1.666,0.003,0.302,18.460,0.12,21134.,5000
92,0.5,0.02,0.0375,0.0656,0.0288,0.002,0.028,0.068,1.677,0.003,0.301,18.309,0.12,21135.,5000
93,0.9,0.03,0.0758,0.0650,0.0282,0.002,0.028,0.067,1.643,0.003,0.298,18.521,0.12,21136.,5000
94,1.4,0.05,0.1132,0.0638,0.0278,0.002,0.027,0.066,1.621,0.003,0.293,18.425,0.12,21139.,5000
95,1.9,0.07,0.1503,0.0631,0.0276,0.002,0.027,0.065,1.610,0.003,0.290,18.355,0.12,21143.,5000
96,2.3,0.08,0.1831,0.0613,0.0275,0.002,0.027,0.063,1.604,0.003,0.281,17.888,0.12,21147.,5000
97,2.8,0.10,0.2170,0.0595,0.0271,0.002,0.027,0.061,1.577,0.003,0.273,17.664,0.12,21153.,5000
98,3.3,0.12,0.2508,0.0577,0.0265,0.002,0.026,0.060,1.544,0.003,0.265,17.504,0.12,21160.,5000
99,3.7,0.13,0.2863,0.0560,0.0257,0.002,0.025,0.058,1.501,0.003,0.257,17.482,0.12,21167.,5000
100,4.2,0.15,0.3151,0.0535,0.0251,0.002,0.025,0.055,1.463,0.003,0.245,17.103,0.12,21176.,5000
101,4.7,0.16,0.3463,0.0509,0.0242,0.002,0.024,0.053,1.410,0.003,0.234,16.915,0.12,21186.,5000
102,5.1,0.18,0.3751,0.0492,0.0237,0.002,0.023,0.051,1.382,0.003,0.226,16.658,0.12,21197.,5000
103,5.6,0.20,0.3988,0.0463,0.0229,0.002,0.023,0.048,1.336,0.003,0.213,16.232,0.12,21208.,5000
104,6.1,0.21,0.4171,0.0441,0.0226,0.002,0.022,0.046,1.319,0.003,0.203,15.671,0.12,21221.,5000
105,6.5,0.23,0.4379,0.0415,0.0218,0.002,0.022,0.043,1.273,0.002,0.191,15.279,0.12,21235.,5000
106,7.0,0.25,0.4604,0.0393,0.0210,0.002,0.021,0.041,1.227,0.002,0.180,14.991,0.12,21250.,5000
107,7.5,0.26,0.4718,0.0368,0.0205,0.002,0.020,0.038,1.195,0.002,0.169,14.403,0.12,21266.,5000
108,7.9,0.28,0.4854,0.0344,0.0198,0.002,0.020,0.036,1.154,0.002,0.158,13.948,0.12,21283.,5000
109,8.4,0.30,0.4851,0.0315,0.0192,0.002,0.019,0.032,1.119,0.002,0.144,13.165,0.12,21300.,5000
110,8.9,0.31,0.4986,0.0290,0.0182,0.001,0.018,0.030,1.060,0.002,0.133,12.818,0.12,21319.,5000
111,9.3,0.33,0.4989,0.0261,0.0172,0.001,0.017,0.027,1.003,0.002,0.120,12.186,0.12,21339.,5000
112,9.8,0.35,0.4962,0.0236,0.0164,0.001,0.016,0.024,0.957,0.002,0.108,11.543,0.12,21360.,5000
113,10.3,0.36,0.4849,0.0205,0.0153,0.001,0.015,0.021,0.890,0.002,0.094,10.766,0.12,21382.,5000
114,10.7,0.38,0.4688,0.0177,0.0143,0.001,0.014,0.018,0.835,0.002,0.081,9.957,0.12,21405.,5000
115,11.2,0.39,0.4422,0.0149,0.0132,0.001,0.013,0.015,0.772,0.001,0.068,9.001,0.12,21429.,5000
116,11.7,0.41,0.3991,0.0117,0.0120,0.001,0.012,0.012,0.700,0.001,0.054,7.799,0.12,21453.,5000
117,12.1,0.43,0.3444,0.0089,0.0110,0.001,0.011,0.009,0.641,0.001,0.041,6.471,0.12,21479.,5000
118,12.6,0.44,0.2524,0.0055,0.0097,0.001,0.010,0.006,0.564,0.001,0.025,4.566,0.12,21506.,5000
119,13.1,0.46,0.1739,0.0033,0.0088,0.001,0.009,0.003,0.515,0.001,0.015,3.033,0.12,21534.,5000
120,13.5,0.48,-0.0084,-0.0001,0.0077,0.001,0.008,0.000,0.452,0.001,-0.001,-0.142,0.12,21563.,5000
