,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR,Torque,Thrust,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
111,24.5,0.72,0.6755,0.0960,0.1019,0.031,0.488,0.321,23.106,0.055,1.427,6.299,0.15,44218.,4000
112,25.7,0.75,0.6809,0.0862,0.0953,0.029,0.457,0.288,21.610,0.052,1.282,6.047,0.15,44410.,4000
113,26.9,0.79,0.6819,0.0761,0.0881,0.027,0.422,0.255,19.976,0.048,1.132,5.780,0.15,44610.,4000
114,28.1,0.83,0.6772,0.0659,0.0803,0.024,0.385,0.220,18.202,0.043,0.980,5.491,0.15,44819.,4000
115,29.4,0.86,0.6648,0.0555,0.0718,0.022,0.344,0.185,16.282,0.039,0.825,5.166,0.15,45036.,4000
116,30.6,0.90,0.6404,0.0448,0.0628,0.019,0.301,0.150,14.233,0.034,0.667,4.777,0.15,45261.,4000
117,31.8,0.93,0.5949,0.0339,0.0532,0.016,0.255,0.113,12.057,0.029,0.505,4.267,0.15,45494.,4000
118,33.0,0.97,0.5115,0.0228,0.0431,0.013,0.207,0.076,9.779,0.023,0.339,3.533,0.15,45735.,4000
119,34.2,1.00,0.3535,0.0115,0.0326,0.010,0.156,0.038,7.386,0.018,0.171,2.355,0.15,45984.,4000
120,35.5,1.04,-0.0012,0.0000,0.0215,0.007,0.103,0.000,4.874,0.012,0.000,-0.008,0.15,46240.,4000
121,0.0,0.00,0.0000,0.2128,0.1165,0.069,0.872,1.112,51.601,0.099,4.946,9.773,0.18,52875.,5000
122,1.5,0.04,0.0635,0.2119,0.1197,0.071,0.896,1.107,52.987,0.101,4.924,9.476,0.18,52881.,5000
123,3.1,0.07,0.1232,0.2106,0.1227,0.073,0.918,1.100,54.328,0.104,4.894,9.186,0.18,52899.,5000
124,4.6,0.11,0.1791,0.2088,0.1255,0.075,0.939,1.091,55.572,0.106,4.853,8.905,0.18,52930.,5000
125,6.1,0.14,0.2315,0.2065,0.1280,0.076,0.958,1.079,56.684,0.108,4.799,8.633,0.18,52973.,5000
126,7.6,0.18,0.2806,0.2036,0.1302,0.077,0.974,1.064,57.636,0.110,4.731,8.371,0.18,53028.,5000
127,9.2,0.22,0.3265,0.2001,0.1320,0.078,0.988,1.046,58.426,0.112,4.651,8.117,0.18,53095.,5000
